Order,Song,Artist,Duration (mm:ss),YouTube Link
1,Time (Live),Pink Floyd,06:50,https://www.youtube.com/watch?v=JwYX52BP2Sk
2,How to Disappear Completely,Radiohead,05:56,https://www.youtube.com/watch?v=7vFaoA7t2RE
3,Says,Nils Frahm,08:18,https://www.youtube.com/watch?v=mMRrCYPxD0I
4,Fourth of July,Sufjan Stevens,04:40,https://www.youtube.com/watch?v=JTeKpWp8Psw
5,Emerald Rush,Jon Hopkins,05:36,https://www.youtube.com/watch?v=BC2dRkm8ATU
6,Sæglópur,Sigur Rós,07:39,https://www.youtube.com/watch?v=84i7zQ_ACnU
7,On the Nature of Daylight,Max Richter,06:14,https://www.youtube.com/watch?v=rVN1B-tUpgs
8,Your Hand in Mine,Explosions in the Sky,08:17,https://www.youtube.com/watch?v=JzIK5FaC38w
